,Date,Open,High,Low,Close,%Cchange,%Pchange
246,2019-01-03,3335.0,3336.35,3285.05,3290.0,-1.3493253373313343,-1.6124620060790331
247,2019-01-04,3290.35,3336.85,3287.2,3331.45,1.2491072378318389,1.2442029746806893
248,2019-01-07,3348.05,3358.55,3338.4,3349.5,0.0433087916847065,0.5388864009553719
249,2019-01-08,3350.6,3351.75,3327.9,3337.6,-0.3879902107085298,-0.3565436241610765
250,2019-01-09,3338.45,3345.6,3280.95,3295.95,-1.273045874582516,-1.2636720824041654
251,2019-01-10,3295.05,3301.3,3274.55,3281.8,-0.4021183290086645,-0.4311658236333608
252,2019-01-11,3285.6,3293.65,3271.8,3281.1,-0.1369612856099342,-0.0213343086160212
253,2019-01-14,3287.2,3289.85,3238.75,3250.25,-1.1240569481625644,-0.9491577570956052
254,2019-01-15,3274.55,3282.2,3256.85,3277.75,0.097723351300173,0.8389901609335673
255,2019-01-16,3286.75,3304.1,3284.2,3286.3,-0.0136913364265556,0.2601710129933415
256,2019-01-17,3293.4,3310.05,3285.4,3299.35,0.1806643590210669,0.3955324533620176
257,2019-01-18,3301.5,3310.65,3276.3,3280.85,-0.6254732697258849,-0.5638782632549492
258,2019-01-21,3285.6,3287.9,3248.5,3254.7,-0.9404674945215512,-0.8034534672934553
259,2019-01-22,3256.65,3261.55,3241.1,3251.25,-0.1658145640458781,-0.1061130334486679
260,2019-01-23,3256.0,3267.1,3225.6,3228.95,-0.8307739557739613,-0.6906269840040936
261,2019-01-24,3231.3,3242.85,3214.95,3224.5,-0.2104416179246798,-0.1380058923864108
262,2019-01-25,3232.85,3250.8,3201.15,3206.75,-0.8073371792690631,-0.5535199189210259
263,2019-01-28,3208.6,3212.55,3165.4,3195.6,-0.4051611294645639,-0.3489172612341998
264,2019-01-29,3192.55,3200.2,3163.35,3177.75,-0.4635792704891131,-0.5617181968373821
265,2019-01-30,3183.65,3188.1,3161.7,3178.85,-0.150770342217272,0.0346037088884316
266,2019-01-31,3191.05,3222.0,3180.85,3207.7,0.5217718305886663,0.899398322785794
267,2019-02-01,3218.35,3224.85,3191.2,3213.5,-0.1506983392110836,0.1804885638711741
268,2019-02-04,3211.25,3211.25,3173.3,3183.95,-0.850136239782022,-0.92809246376357
269,2019-02-05,3179.65,3197.3,3141.2,3147.4,-1.014262576069693,-1.161275973819652
270,2019-02-06,3149.75,3198.85,3141.5,3190.0,1.277879196761648,1.3354231974921602
271,2019-02-07,3194.75,3213.3,3183.85,3204.05,0.2911025901870313,0.4385075139276909
272,2019-02-08,3196.1,3219.75,3124.25,3133.1,-1.971152341916711,-2.2645303373655574
273,2019-02-11,3118.55,3122.75,3072.15,3103.4,-0.4858026967661281,-0.9570148868982348
274,2019-02-12,3103.35,3144.15,3102.95,3116.05,0.4092351813363067,0.405962677107238
275,2019-02-14,3031.1,3036.9,2965.9,3007.55,-0.7769456632905456,-1.2235873052816986
276,2019-02-15,3045.75,3070.8,3023.8,3060.75,0.4924895345973898,1.7381360777587131
277,2019-02-18,3060.05,3081.05,3038.05,3055.4,-0.1519583013349484,-0.1750998232637268
278,2019-02-19,3050.85,3094.7,3050.85,3068.45,0.5768884081485458,0.4252961592986599
279,2019-02-20,3091.15,3144.8,3083.8,3130.15,1.2616663701211523,1.9711515422583668
280,2019-02-21,3128.15,3147.1,3112.45,3139.6,0.3660310407109575,0.3009937571665122
281,2019-02-22,3153.25,3188.85,3143.8,3183.2,0.9498136842939766,1.3696908771047975
282,2019-02-25,3186.35,3188.2,3142.3,3176.3,-0.3154079118740793,-0.2172338884865924
283,2019-02-26,3144.4,3201.8,3123.65,3193.5,1.5615061696985086,0.5385940191012938
284,2019-02-27,3202.85,3226.2,3176.2,3188.25,-0.4558440139250951,-0.1646671371442013
285,2019-02-28,3198.1,3245.55,3185.45,3232.8,1.085019230167921,1.3780623608017872
286,2019-03-01,3247.75,3289.0,3241.95,3285.2,1.1531059964590815,1.5950322659198723
287,2019-03-05,3287.0,3394.85,3283.05,3387.45,3.0559780955278315,3.018494737929712
288,2019-03-06,3407.65,3433.15,3397.3,3417.7,0.2949246548207629,0.8850981654328935
289,2019-03-07,3431.15,3439.8,3370.2,3379.45,-1.506783439954542,-1.131840980041131
